Date,Total Deaths - 14 Day Rolling Total,Total Deaths - Daily Total
3/1/2020,,0
3/2/2020,0,0
3/3/2020,0,0
3/4/2020,0,0
3/5/2020,0,0
3/6/2020,0,0
3/7/2020,0,0
3/8/2020,0,0
3/9/2020,0,0
3/10/2020,0,0
3/11/2020,0,0
3/12/2020,0,0
3/13/2020,0,0
3/14/2020,0,0
3/15/2020,0,0
3/16/2020,0,0
3/17/2020,0,0
3/18/2020,0,0
3/19/2020,0,0
3/20/2020,0,0
3/21/2020,0,0
3/22/2020,0,0
3/23/2020,0,0
3/24/2020,0,1
3/25/2020,1,0
3/26/2020,1,1
3/27/2020,2,1
3/28/2020,3,1
3/29/2020,4,1
3/30/2020,5,1
3/31/2020,6,4
4/1/2020,10,2
4/2/2020,12,1
4/3/2020,13,5
4/4/2020,18,3
4/5/2020,21,5
4/6/2020,26,0
4/7/2020,26,2
4/8/2020,27,3
4/9/2020,30,5
4/10/2020,34,3
4/11/2020,36,4
4/12/2020,39,4
4/13/2020,42,6
4/14/2020,47,3
4/15/2020,46,6
4/16/2020,50,5
4/17/2020,54,8
4/18/2020,57,5
4/19/2020,59,8
4/20/2020,62,7
4/21/2020,69,6
4/22/2020,73,7
4/23/2020,77,10
4/24/2020,82,5
4/25/2020,84,6
4/26/2020,86,8
4/27/2020,90,10
4/28/2020,94,12
4/29/2020,103,13
4/30/2020,110,9
5/1/2020,114,11
5/2/2020,117,5
5/3/2020,117,15
5/4/2020,124,17
5/5/2020,134,10
5/6/2020,138,9
5/7/2020,140,13
5/8/2020,143,11
5/9/2020,149,13
5/10/2020,156,18
5/11/2020,166,15
5/12/2020,171,13
5/13/2020,172,14
5/14/2020,173,17
5/15/2020,181,6
5/16/2020,176,11
5/17/2020,182,11
5/18/2020,178,16
5/19/2020,177,18
5/20/2020,185,12
5/21/2020,188,10
5/22/2020,185,19
5/23/2020,193,8
5/24/2020,188,19
5/25/2020,189,10
5/26/2020,184,13
5/27/2020,184,14
5/28/2020,184,11
5/29/2020,178,12
5/30/2020,184,5
5/31/2020,178,11
6/1/2020,178,10
6/2/2020,172,12
6/3/2020,166,10
6/4/2020,164,8
6/5/2020,162,10
6/6/2020,153,8
6/7/2020,153,7
6/8/2020,141,8
6/9/2020,139,4
6/10/2020,130,7
6/11/2020,123,2
6/12/2020,114,5
6/13/2020,107,5
6/14/2020,107,5
6/15/2020,101,8
6/16/2020,99,4
6/17/2020,91,3
6/18/2020,84,3
6/19/2020,79,6
6/20/2020,75,4
6/21/2020,71,0
6/22/2020,64,2
6/23/2020,58,4
6/24/2020,58,0
6/25/2020,51,4
6/26/2020,53,8
6/27/2020,56,2
6/28/2020,53,4
6/29/2020,52,0
6/30/2020,44,1
7/1/2020,41,3
7/2/2020,41,3
7/3/2020,41,9
7/4/2020,44,1
7/5/2020,41,3
7/6/2020,44,4
7/7/2020,46,4
7/8/2020,46,4
7/9/2020,50,2
7/10/2020,48,5
7/11/2020,45,6
7/12/2020,49,6
7/13/2020,51,7
7/14/2020,58,5
7/15/2020,62,6
7/16/2020,65,5
7/17/2020,67,6
7/18/2020,64,5
7/19/2020,68,3
7/20/2020,68,8
7/21/2020,72,9
7/22/2020,77,7
7/23/2020,80,7
7/24/2020,85,6
7/25/2020,86,5
7/26/2020,85,5
7/27/2020,84,14
7/28/2020,91,7
7/29/2020,93,5
7/30/2020,92,7
7/31/2020,94,3
8/1/2020,91,7
8/2/2020,93,10
8/3/2020,100,7
8/4/2020,99,9
8/5/2020,99,7
8/6/2020,99,8
8/7/2020,100,11
8/8/2020,105,8
8/9/2020,108,7
8/10/2020,110,7
8/11/2020,103,9
8/12/2020,105,4
8/13/2020,104,11
8/14/2020,108,10
8/15/2020,115,4
8/16/2020,112,5
8/17/2020,107,9
8/18/2020,109,7
8/19/2020,107,4
8/20/2020,104,15
8/21/2020,111,10
8/22/2020,110,9
8/23/2020,111,11
8/24/2020,115,5
8/25/2020,113,12
8/26/2020,116,6
8/27/2020,118,12
8/28/2020,119,12
8/29/2020,121,11
8/30/2020,128,6
8/31/2020,129,10
9/1/2020,130,10
9/2/2020,133,5
9/3/2020,134,13
9/4/2020,132,8
9/5/2020,130,5
9/6/2020,126,6
9/7/2020,121,12
9/8/2020,128,7
9/9/2020,123,7
9/10/2020,124,7
9/11/2020,119,3
9/12/2020,110,5
9/13/2020,104,1
9/14/2020,99,3
9/15/2020,92,1
9/16/2020,83,0
9/17/2020,78,
