EventDateOfDeath,Total Deaths - Rolling 14 Day Total,Total Deaths - Daily Total
3/1/2020,,0
3/2/2020,0,0
3/3/2020,0,0
3/4/2020,0,0
3/5/2020,0,0
3/6/2020,0,0
3/7/2020,0,0
3/8/2020,0,0
3/9/2020,0,0
3/10/2020,0,0
3/11/2020,0,0
3/12/2020,0,0
3/13/2020,0,0
3/14/2020,0,0
3/15/2020,0,0
3/16/2020,0,0
3/17/2020,0,0
3/18/2020,0,0
3/19/2020,0,0
3/20/2020,0,0
3/21/2020,0,0
3/22/2020,0,0
3/23/2020,0,0
3/24/2020,0,1
3/25/2020,1,0
3/26/2020,1,1
3/27/2020,2,2
3/28/2020,4,1
3/29/2020,5,1
3/30/2020,6,1
3/31/2020,7,4
4/1/2020,11,2
4/2/2020,13,1
4/3/2020,14,5
4/4/2020,19,3
4/5/2020,22,5
4/6/2020,27,0
4/7/2020,27,2
4/8/2020,28,3
4/9/2020,31,5
4/10/2020,35,3
4/11/2020,36,4
4/12/2020,39,4
4/13/2020,42,6
4/14/2020,47,3
4/15/2020,46,6
4/16/2020,50,5
4/17/2020,54,7
4/18/2020,56,5
4/19/2020,58,8
4/20/2020,61,7
4/21/2020,68,6
4/22/2020,72,7
4/23/2020,76,11
4/24/2020,82,5
4/25/2020,84,7
4/26/2020,87,8
4/27/2020,91,9
4/28/2020,94,11
4/29/2020,102,13
4/30/2020,109,9
5/1/2020,113,11
5/2/2020,117,6
5/3/2020,118,14
5/4/2020,124,18
5/5/2020,135,10
5/6/2020,139,9
5/7/2020,141,12
5/8/2020,142,11
5/9/2020,148,13
5/10/2020,154,17
5/11/2020,163,14
5/12/2020,168,14
5/13/2020,171,13
5/14/2020,171,17
5/15/2020,179,7
5/16/2020,175,11
5/17/2020,180,11
5/18/2020,177,16
5/19/2020,175,17
5/20/2020,182,13
5/21/2020,186,11
5/22/2020,185,19
5/23/2020,193,7
5/24/2020,187,20
5/25/2020,190,10
5/26/2020,186,11
5/27/2020,183,13
5/28/2020,183,10
5/29/2020,176,12
5/30/2020,181,6
5/31/2020,176,10
6/1/2020,175,7
6/2/2020,166,12
6/3/2020,161,10
6/4/2020,158,8
6/5/2020,155,10
6/6/2020,146,8
6/7/2020,147,7
6/8/2020,134,8
6/9/2020,132,3
6/10/2020,124,8
6/11/2020,119,2
6/12/2020,111,5
6/13/2020,104,5
6/14/2020,103,5
6/15/2020,98,9
6/16/2020,100,4
6/17/2020,92,3
6/18/2020,85,2
6/19/2020,79,6
6/20/2020,75,3
6/21/2020,70,0
6/22/2020,63,2
6/23/2020,57,4
6/24/2020,58,0
6/25/2020,50,4
6/26/2020,52,8
6/27/2020,55,2
6/28/2020,52,4
6/29/2020,51,0
6/30/2020,42,1
7/1/2020,39,4
7/2/2020,40,3
7/3/2020,41,9
7/4/2020,44,1
7/5/2020,42,3
7/6/2020,45,4
7/7/2020,47,3
7/8/2020,46,4
7/9/2020,50,2
7/10/2020,48,6
7/11/2020,46,6
7/12/2020,50,6
7/13/2020,52,7
7/14/2020,59,4
7/15/2020,62,6
7/16/2020,64,5
7/17/2020,66,7
7/18/2020,64,6
7/19/2020,69,3
7/20/2020,69,9
7/21/2020,74,9
7/22/2020,80,8
7/23/2020,84,7
7/24/2020,89,6
7/25/2020,89,6
7/26/2020,89,5
7/27/2020,88,13
7/28/2020,94,8
7/29/2020,98,6
7/30/2020,98,7
7/31/2020,100,3
8/1/2020,96,6
8/2/2020,96,8
8/3/2020,101,8
8/4/2020,100,9
8/5/2020,100,7
8/6/2020,99,6
8/7/2020,98,11
8/8/2020,103,7
8/9/2020,104,6
8/10/2020,105,7
8/11/2020,99,10
8/12/2020,101,3
8/13/2020,98,13
8/14/2020,104,10
8/15/2020,111,5
8/16/2020,110,5
8/17/2020,107,9
8/18/2020,108,9
8/19/2020,108,4
8/20/2020,105,17
8/21/2020,116,11
8/22/2020,116,10
8/23/2020,119,12
8/24/2020,125,6
8/25/2020,124,11
8/26/2020,125,9
8/27/2020,131,12
8/28/2020,130,11
8/29/2020,131,12
8/30/2020,138,6
8/31/2020,139,10
9/1/2020,140,10
9/2/2020,141,5
9/3/2020,142,14
9/4/2020,139,10
9/5/2020,138,6
9/6/2020,134,8
9/7/2020,130,13
9/8/2020,137,11
9/9/2020,137,9
9/10/2020,137,10
9/11/2020,135,6
9/12/2020,130,4
9/13/2020,122,5
9/14/2020,121,8
9/15/2020,119,4
9/16/2020,113,8
9/17/2020,116,9
9/18/2020,111,6
9/19/2020,107,9
9/20/2020,110,5
9/21/2020,107,4
9/22/2020,98,6
9/23/2020,93,13
9/24/2020,97,11
9/25/2020,98,12
9/26/2020,104,12
9/27/2020,112,10
9/28/2020,117,10
9/29/2020,119,11
9/30/2020,126,12
10/1/2020,130,14
10/2/2020,135,10
10/3/2020,139,17
10/4/2020,147,9
10/5/2020,151,17
10/6/2020,164,7
10/7/2020,165,22
10/8/2020,174,16
10/9/2020,179,23
10/10/2020,190,11
10/11/2020,189,15
10/12/2020,194,18
10/13/2020,202,6
10/14/2020,197,17
10/15/2020,202,20
10/16/2020,208,21
10/17/2020,219,20
10/18/2020,222,11
10/19/2020,224,20
10/20/2020,227,27
10/21/2020,247,16
10/22/2020,241,24
10/23/2020,249,17
10/24/2020,243,14
10/25/2020,246,15
10/26/2020,246,14
10/27/2020,242,12
10/28/2020,248,21
10/29/2020,252,22
10/30/2020,254,22
10/31/2020,255,24
11/1/2020,259,33
11/2/2020,281,39
11/3/2020,300,28
11/4/2020,301,30
11/5/2020,315,54
11/6/2020,345,39
11/7/2020,367,33
11/8/2020,386,47
11/9/2020,418,36
11/10/2020,440,45
11/11/2020,473,40
11/12/2020,492,63
11/13/2020,533,37
11/14/2020,548,39
11/15/2020,563,50
11/16/2020,580,49
11/17/2020,590,60
11/18/2020,622,61
11/19/2020,653,75
11/20/2020,674,62
11/21/2020,697,61
11/22/2020,725,51
11/23/2020,729,61
11/24/2020,754,38
11/25/2020,747,64
11/26/2020,771,64
11/27/2020,772,60
11/28/2020,795,62
11/29/2020,818,54
11/30/2020,822,71
12/1/2020,844,62
12/2/2020,846,55
12/3/2020,840,58
12/4/2020,823,55
12/5/2020,816,54
12/6/2020,809,52
12/7/2020,810,48
12/8/2020,797,55
12/9/2020,814,48
12/10/2020,798,36
12/11/2020,770,44
12/12/2020,754,46
12/13/2020,738,34
12/14/2020,718,40
12/15/2020,687,30
12/16/2020,655,47
12/17/2020,647,42
12/18/2020,631,26
12/19/2020,602,35
12/20/2020,583,17
12/21/2020,548,41
12/22/2020,541,34
12/23/2020,520,32
12/24/2020,504,33
12/25/2020,501,36
12/26/2020,493,25
12/27/2020,472,35
12/28/2020,473,28
12/29/2020,461,19
12/30/2020,450,27
12/31/2020,430,23
1/1/2021,411,27
1/2/2021,412,33
1/3/2021,410,21
1/4/2021,414,22
1/5/2021,395,26
1/6/2021,387,33
1/7/2021,388,24
1/8/2021,379,34
1/9/2021,377,36
1/10/2021,388,32
1/11/2021,385,26
1/12/2021,383,21
1/13/2021,385,19
1/14/2021,377,20
1/15/2021,374,12
1/16/2021,359,21
